32 0.12473 0.123633
48 5.60188 5.52059
64 5.60479 5.55666
96 8.36068 8.18348
128 13.893 13.5145
192 17.6147 17.172
256 22.3698 21.9975
384 33.2178 32.6548
512 44.0338 38.2238
768 66.333 63.3714
1024 159.828 155.973
1536 168.234 150.685
2048 173.377 164.743
3072 435.419 407.969
4096 427.521 404.163
6144 648.368 620.017
8192 801.071 764.604
12288 1205.8 1172.07
16384 1482.54 1444.93
24576 1743.06 1697.44
32768 2186.75 2123.05
49152 3523.14 3411.22
65536 5196.55 4998.95
98304 4620.88 4499.07
131072 5332.27 5087.75
196608 6743.51 6300.86
262144 8829.45 8575.03
393216 9164.63 8773.88
524288 11964.1 11816
