32 1532.16 1452.27
48 2506.53 2247.86
64 3313.66 2877.83
96 4863.96 4428.54
128 6673.79 5973.33
192 9882.13 8878.14
256 13245.7 12375.4
384 19706.5 17152.7
512 25884.1 22989.6
768 38312.8 34926
1024 50160.4 45432.4
1536 73761 66047.3
2048 96270 83468.8
3072 133559 124208
4096 168400 158217
6144 225970 199090
8192 272236 257311
12288 350705 320193
16384 404963 373841
24576 486239 430926
32768 581834 532976
49152 642354 560404
65536 612775 558439
98304 737664 688364
131072 521101 436652
196608 664176 646302
262144 645262 633073
393216 654493 591357
524288 660534 632417
