32 0.121103 0.121824
48 3.5954 3.35979
64 4.10354 3.89483
96 8.68856 8.44841
128 9.58306 9.29912
192 12.1796 10.9623
256 11.2976 11.2479
384 34.5225 33.1869
512 38.3936 37.4275
768 56.9412 55.1764
1024 76.0899 71.8559
1536 97.562 93.0428
2048 129.229 124.517
3072 266.516 252.073
4096 254.09 245.158
6144 415.912 354.891
8192 485.837 444.744
12288 836.5 812.99
16384 1077.12 1020.59
24576 1520.19 1416.71
32768 1581.45 1499.06
49152 2065.64 1993.18
65536 2620.85 2540.24
98304 3715.69 3552.61
131072 4181.09 3676.39
196608 4717.53 4232.11
262144 5908.67 5636.78
393216 6624.62 6181.71
524288 7082.84 6867.88
